id;label;shape;bgcolor;fontcolor;rank;subgraph;mainGraph;is_terminal;href;tooltip;descr;openSource;keyQuestions;keyLink
Font Awesome;Font Awesome;ellipse;#D41159;white;4;Icons;Dataanalysis;yes;https://fontawesome.com/v5.15/icons?d=gallery&p=2&m=free;https://fontawesome.com/v5.15/icons?d=gallery&p=2&m=free;Font Awesome has loads of free icons to choose from to use in presentations, posters, etc.;FALSE;;
Phylopic;Phylopic;ellipse;#D41159;white;4;Icons;Dataanalysis;yes;https://www.phylopic.org/;https://www.phylopic.org/;An open database of freely usable silhouettes of life forms.;FALSE;;
Smart Servier Medical Art;Smart Servier Medical Art;ellipse;#D41159;white;4;Icons;Dataanalysis;yes;https://smart.servier.com/;https://smart.servier.com/;Servier Medical Art is your global source for over 3000 free, up-to-date medical images designed to meet your needs.;FALSE;;
Health icons;Health icons;ellipse;#D41160;white;4;Icons;Dataanalysis;yes;https://healthicons.org/;https://healthicons.org/;Free, open source health icons.;FALSE;;
Chemix;Chemix;ellipse;#D41161;white;4;Icons;Dataanalysis;yes;https://chemix.org/;https://chemix.org/;Chemix is an online editor for drawing science lab diagrams and school experiments in Chemistry, Biology and Physics. The app provides easy sketching for both students and teachers.;FALSE;;
GitHub;GitHub;diamond;#40B0A6;white;2;Dataanalysis;Dataanalysis;no;NA;;NA;;;
GitHub;GitHub;diamond;#40B0A6;white;2;GitHub;Dataanalysis;no;NA;;NA;;;
GitHub cheatsheet;GitHub cheatsheet;ellipse;#D41159;white;3;GitHub;Dataanalysis;yes;https://twitter.com/NikkiSiapno/status/1593882400983072769?t=iOvK_Nm0pe4DrpNL9C0njw&s=19;https://twitter.com/NikkiSiapno/status/1593882400983072769?t=iOvK_Nm0pe4DrpNL9C0njw&s=19;Confused by commit, stage, stash, fetch, etc. on GitHub? Here's the sheet for you.;FALSE;;
fNIRS;fNIRS;diamond;#40B0A6;white;2;Dataanalysis;Dataanalysis;no;NA;;NA;;;
fNIRS;fNIRS;diamond;#40B0A6;white;2;fNIRS;Dataanalysis;no;NA;;NA;;;
fNIRS cheatsheet;fNIRS cheatsheet;ellipse;#D41159;white;3;fNIRS;Dataanalysis;yes;https://twitter.com/katharina_stute/status/1579119875082985472?t=ljO6m2u8XxfazCZLVhBbsg&s=19;https://twitter.com/katharina_stute/status/1579119875082985472?t=ljO6m2u8XxfazCZLVhBbsg&s=19;A hitchhiker's guide to fNIRS data analysis for beginners.;FALSE;;
Reproducibility;Reproducibility;diamond;#40B0A6;white;2;Dataanalysis;Dataanalysis;no;NA;;NA;;;
Reproducibility;Reproducibility;diamond;#40B0A6;white;2;Reproducibility;Dataanalysis;no;NA;;NA;;;
renv (R);renv (R);ellipse;#D41159;white;3;Reproducibility;Dataanalysis;yes;https://rstudio.github.io/renv/articles/renv.html;https://rstudio.github.io/renv/articles/renv.html;Renvironments, a term coined by the package's name, refer to R project-specific environments that isolate the package versions and dependencies used in that project enabeling reproducible environments.;FALSE;;
Docker;Docker;ellipse;#D41159;white;3;Reproducibility;Dataanalysis;yes;https://www.docker.com/;https://www.docker.com/;Docker is a platform and tool designed to create, deploy, and manage applications using containerization. Containerization is a technology that allows you to package an application and its dependencies, including libraries, runtime, and system tools, into a single standardized unit called a 'container'. Containers provide an isolated and consistent environment for running applications, regardless of the underlying operating system or infrastructure.;FALSE;;
Datapasta (R);Datapasta (R);ellipse;#D41159;white;3;Reproducibility;Dataanalysis;yes;https://github.com/MilesMcBain/datapasta;https://github.com/MilesMcBain/datapasta;This R package is 'about reducing resistance associated with copying and pasting data to and from R'. Copy data from Excel and paste it into R as a dataframe or tibble.;FALSE;;
Neuroimaging resources;Neuroimaging resources;ellipse;#D41160;white;4;Reproducibility;Dataanalysis;yes;https://doi.org/10.1016/j.neuroimage.2022.119623;https://doi.org/10.1016/j.neuroimage.2022.119623;List of ca. 300 resources supporting openness and reproducibility in neuroimaging.;FALSE;;
Analysis Framework;Analysis Framework;diamond;#40B0A6;white;2;Dataanalysis;Dataanalysis;no;NA;;NA;;;
Analysis Framework;Analysis Framework;diamond;#40B0A6;white;2;AnalysisFramework;Dataanalysis;no;NA;;NA;;;
PSPP;PSPP;ellipse;#D41159;white;3;AnalysisFramework;Dataanalysis;yes;https://www.gnu.org/software/pspp/;https://www.gnu.org/software/pspp/;GNU PSPP is a free and open-source software application used for statistical analysis of data. It is designed to provide similar functionality to proprietary software like IBM SPSS (Statistical Package for the Social Sciences). PSPP is part of the GNU Project, which aims to develop a complete, free, and open-source operating system.;FALSE;;
SPSS;SPSS;ellipse;#D41159;white;3;AnalysisFramework;Dataanalysis;yes;https://www.ibm.com/products/spss-statistics;https://www.ibm.com/products/spss-statistics;IBM SPSS (Statistical Package for the Social Sciences) is a proprietary software application used for statistical analysis, data manipulation, and data visualization. It is widely utilized in social science research, business analytics, and academic settings for its comprehensive set of statistical tools and user-friendly interface.;FALSE;;
R;R;diamond;#40B0A6;white;3;AnalysisFramework;Dataanalysis;no;NA;;NA;;;
R;R;diamond;#40B0A6;white;3;R;Dataanalysis;no;NA;;NA;;;
